MAT137 - v2
PS1,PS2,PS3,PS4,PS5,PS6,PS7,PS8,Final,Midterm 1,Midterm 2,Midterm 3,Midterm 4
1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,35,18,15,12,10
90.9090909090909,80.0,96.55172413793103,97.05882352941177,88.57142857142857,77.5,100.0,77.41935483870968,,82.05128205128204,89.13043478260869,85.0,85.71428571428571
